time,channel,band,power
0.5,AF7,delta,1.6633706951705538
0.5859375,AF7,delta,1.5709747372236074
0.671875,AF7,delta,1.6038928725665178
0.7578125,AF7,delta,1.7276199622134385
0.84375,AF7,delta,2.0071363679879664
0.9296875,AF7,delta,2.2934762995242064
1.015625,AF7,delta,2.4867756416018105
1.1015625,AF7,delta,2.6267860272021735
1.1875,AF7,delta,2.7280149244107936
1.2734375,AF7,delta,2.7844502779744698
1.359375,AF7,delta,2.8284731855600795
1.4453125,AF7,delta,2.8853696145769163
1.53125,AF7,delta,2.9709317333295657
1.6171875,AF7,delta,3.0514318018673876
1.703125,AF7,delta,3.122139826209541
1.7890625,AF7,delta,3.1991649804344355
1.875,AF7,delta,3.2957075742487394
1.9609375,AF7,delta,3.421116990115405
2.046875,AF7,delta,3.5301506486246916
2.1328125,AF7,delta,3.590029495568391
2.21875,AF7,delta,3.595117596742608
2.3046875,AF7,delta,3.5550307394693075
2.390625,AF7,delta,3.476767882636178
2.4765625,AF7,delta,3.386310573539021
2.5625,AF7,delta,3.31033705356784
2.6484375,AF7,delta,3.2587156036424476
2.734375,AF7,delta,3.2476490283258586
2.8203125,AF7,delta,3.250188822558308
2.90625,AF7,delta,3.2268559960290246
2.9921875,AF7,delta,3.1915584860943387
3.078125,AF7,delta,3.130671975099387
3.1640625,AF7,delta,3.095158797684995
3.25,AF7,delta,3.142079972312482
3.3359375,AF7,delta,3.2409326419496187
3.421875,AF7,delta,3.290305369656631
3.5078125,AF7,delta,3.2850744037661346
3.59375,AF7,delta,3.2013648912904844
3.6796875,AF7,delta,3.031566218546966
3.765625,AF7,delta,2.8231198755695655
3.8515625,AF7,delta,2.5827845993607905
3.9375,AF7,delta,2.3666392776215317
4.0234375,AF7,delta,2.301024344215241
4.109375,AF7,delta,1.9360061416644043
4.1953125,AF7,delta,1.719442680331681
4.28125,AF7,delta,1.6280985563612993
4.3671875,AF7,delta,1.6150808478884047
4.453125,AF7,delta,1.7155619583745745
4.5390625,AF7,delta,1.815037947821751
4.625,AF7,delta,1.920705615628479
4.7109375,AF7,delta,2.0213150089798395
4.796875,AF7,delta,2.094702578180498
4.8828125,AF7,delta,2.1209187902416593
4.96875,AF7,delta,2.094269018320051
5.0546875,AF7,delta,2.01320173625314
5.140625,AF7,delta,1.814658159178362
5.2265625,AF7,delta,1.5398933615518342
5.3125,AF7,delta,1.221026670711329
5.3984375,AF7,delta,1.0682882381094159
5.484375,AF7,delta,1.210370808200767
5.5703125,AF7,delta,1.165599084176718
5.65625,AF7,delta,1.160273090079222
5.7421875,AF7,delta,1.1335877595703658
5.828125,AF7,delta,1.0769812049078362
5.9140625,AF7,delta,0.9973848250369818
6.0,AF7,delta,0.962578172483984
6.0859375,AF7,delta,0.9327733701079707
6.171875,AF7,delta,0.9413907920082893
6.2578125,AF7,delta,0.9285163027416576
6.34375,AF7,delta,0.8733134194996414
6.4296875,AF7,delta,0.7633659661525403
6.515625,AF7,delta,0.5548293036954878
6.6015625,AF7,delta,0.40788127535780916
6.6875,AF7,delta,0.4863709010396443
6.7734375,AF7,delta,0.4962661408885334
