unix_ms,lsl_unix_ts,TP9,AF7,AF8,TP10,Right AUX
1767593587081,1767593587.007125,25.390625,-70.3125,-10.7421875,0.9765625,-87.890625
1767593587082,1767593587.0110312,16.11328125,-43.45703125,-14.6484375,-2.9296875,-147.94921875
1767593587082,1767593587.0149374,21.484375,-73.2421875,-20.01953125,0.0,-129.8828125
1767593587082,1767593587.0188437,28.3203125,-92.28515625,-24.90234375,3.90625,57.6171875
1767593587082,1767593587.02275,18.06640625,-65.4296875,-25.390625,-1.953125,-28.3203125
1767593587082,1767593587.0266562,12.20703125,-79.58984375,-27.34375,-11.71875,-132.32421875
1767593587082,1767593587.0305624,15.13671875,-84.47265625,-31.73828125,-12.6953125,6.8359375
1767593587082,1767593587.0344687,20.99609375,-112.79296875,-26.85546875,4.8828125,305.6640625
1767593587082,1767593587.038375,20.01953125,-107.421875,-25.87890625,18.5546875,516.6015625
1767593587083,1767593587.0422812,6.8359375,-16.11328125,-28.3203125,4.39453125,170.8984375
1767593587083,1767593587.0461874,5.37109375,-6.34765625,-29.78515625,-8.30078125,-16.6015625
1767593587083,1767593587.0500937,8.7890625,-28.80859375,-36.1328125,-6.8359375,92.28515625
1767593587083,1767593587.025125,6.34765625,-20.5078125,-42.48046875,-15.13671875,48.33984375
1767593587083,1767593587.0290313,4.39453125,-51.26953125,-43.45703125,-29.296875,-81.54296875
1767593587083,1767593587.0329375,2.44140625,-84.47265625,-43.9453125,-31.73828125,-108.88671875
1767593587083,1767593587.0368438,1.46484375,-53.7109375,-43.45703125,-22.94921875,-129.39453125
1767593587083,1767593587.04075,-5.37109375,-39.0625,-42.96875,-20.5078125,-120.1171875
1767593587083,1767593587.0446563,-4.39453125,-67.87109375,-44.43359375,-22.94921875,-49.31640625
1767593587083,1767593587.0485625,-4.8828125,-79.1015625,-41.015625,-20.01953125,-62.5
1767593587083,1767593587.0524688,-8.7890625,-48.828125,-41.015625,-17.578125,-38.0859375
1767593587083,1767593587.056375,-5.37109375,-14.16015625,-41.50390625,-15.13671875,-11.71875
1767593587084,1767593587.0602813,2.44140625,-44.43359375,-38.57421875,-11.23046875,-28.80859375
1767593587084,1767593587.0641875,7.32421875,-76.171875,-37.109375,-13.18359375,-136.71875
1767593587084,1767593587.0680938,5.859375,-32.71484375,-36.62109375,-11.23046875,-351.07421875
1767593587276,1767593587.112125,5.859375,-2.44140625,-38.57421875,-4.39453125,-342.7734375
1767593587276,1767593587.1160312,8.7890625,-41.015625,-40.52734375,-6.8359375,-225.09765625
1767593587276,1767593587.1199374,7.32421875,-87.40234375,-38.0859375,-14.16015625,-85.9375
1767593587276,1767593587.1238437,0.0,-38.57421875,-37.59765625,-16.6015625,-130.37109375
1767593587276,1767593587.12775,-2.44140625,-8.30078125,-36.62109375,-14.6484375,-104.00390625
1767593587276,1767593587.1316562,-0.48828125,-62.5,-32.2265625,-9.765625,171.875
1767593587276,1767593587.1355624,-6.34765625,-76.66015625,-34.1796875,-14.6484375,262.20703125
1767593587276,1767593587.1394687,-7.8125,-31.73828125,-34.66796875,-25.390625,-60.05859375
