unix_ms,lsl_unix_ts,PPG1,PPG2,PPG3
1767829402993,1767829402.9919064,548.0,118146.0,57609.0
1767829402993,1767829402.991922,549.0,118209.0,57635.0
1767829402993,1767829402.9919376,549.0,118033.0,57574.0
1767829402993,1767829402.9919531,550.0,118160.0,57580.0
1767829402993,1767829402.9919689,551.0,118118.0,57582.0
1767829402993,1767829402.9919844,551.0,118098.0,57567.0
1767829403099,1767829403.0819063,550.0,118120.0,57587.0
1767829403099,1767829403.0819218,551.0,118146.0,57608.0
1767829403099,1767829403.0819376,550.0,118080.0,57573.0
1767829403099,1767829403.081953,548.0,118106.0,57603.0
1767829403099,1767829403.0819688,550.0,118002.0,57596.0
1767829403099,1767829403.0819843,550.0,118243.0,57631.0
1767829403188,1767829403.1869063,549.0,118147.0,57655.0
1767829403188,1767829403.1869218,550.0,118288.0,57659.0
1767829403188,1767829403.1869376,548.0,118256.0,57616.0
1767829403188,1767829403.186953,546.0,118274.0,57659.0
1767829403188,1767829403.1869688,545.0,118309.0,57692.0
1767829403188,1767829403.1869843,544.0,118303.0,57655.0
1767829403278,1767829403.2769063,544.0,118326.0,57673.0
1767829403278,1767829403.2769217,545.0,118364.0,57668.0
1767829403278,1767829403.2769375,543.0,118367.0,57703.0
1767829403278,1767829403.276953,542.0,118316.0,57695.0
1767829403278,1767829403.2769687,540.0,118295.0,57699.0
1767829403278,1767829403.2769842,540.0,118329.0,57676.0
1767829403369,1767829403.3669064,541.0,118364.0,57694.0
1767829403369,1767829403.366922,539.0,118273.0,57688.0
1767829403369,1767829403.3669376,539.0,118388.0,57724.0
1767829403369,1767829403.3669531,540.0,118392.0,57706.0
1767829403369,1767829403.3669689,540.0,118381.0,57720.0
1767829403369,1767829403.3669844,539.0,118395.0,57708.0
1767829403473,1767829403.4579062,538.0,118413.0,57695.0
1767829403473,1767829403.4579217,538.0,118310.0,57726.0
1767829403473,1767829403.4579375,536.0,118398.0,57684.0
1767829403473,1767829403.457953,537.0,118341.0,57672.0
1767829403473,1767829403.4579687,540.0,118353.0,57679.0
1767829403473,1767829403.4579842,538.0,118340.0,57687.0
1767829403568,1767829403.5619063,537.0,118297.0,57685.0
1767829403568,1767829403.5619218,538.0,118261.0,57626.0
1767829403568,1767829403.5619376,538.0,118223.0,57635.0
1767829403568,1767829403.561953,538.0,118223.0,57627.0
1767829403568,1767829403.5619688,538.0,118058.0,57616.0
1767829403568,1767829403.5619843,537.0,118146.0,57620.0
1767829403658,1767829403.6519063,538.0,118167.0,57561.0
1767829403658,1767829403.6519217,539.0,118128.0,57597.0
1767829403658,1767829403.6519375,540.0,118145.0,57579.0
1767829403658,1767829403.651953,540.0,118091.0,57586.0
1767829403658,1767829403.6519687,541.0,118086.0,57586.0
1767829403658,1767829403.6519842,541.0,118097.0,57593.0
1767829403751,1767829403.7429063,541.0,118022.0,57597.0
1767829403751,1767829403.7429218,541.0,118064.0,57568.0
