unix_ms,lsl_unix_ts,PPG1,PPG2,PPG3
1767829584396,1767829584.3759062,491.0,106695.0,48432.0
1767829584396,1767829584.3759217,490.0,106656.0,48408.0
1767829584396,1767829584.3759375,492.0,106583.0,48411.0
1767829584396,1767829584.375953,491.0,106567.0,48437.0
1767829584396,1767829584.3759687,491.0,106575.0,48374.0
1767829584396,1767829584.3759842,491.0,106735.0,48469.0
1767829584480,1767829584.4779062,491.0,106596.0,48412.0
1767829584480,1767829584.4779217,489.0,106528.0,48440.0
1767829584480,1767829584.4779375,490.0,106631.0,48412.0
1767829584480,1767829584.477953,489.0,106665.0,48418.0
1767829584480,1767829584.4779687,492.0,106718.0,48431.0
1767829584480,1767829584.4779842,491.0,106822.0,48457.0
1767829584574,1767829584.5679064,493.0,106955.0,48454.0
1767829584574,1767829584.5679219,491.0,106831.0,48414.0
1767829584574,1767829584.5679376,498.0,106879.0,48448.0
1767829584574,1767829584.567953,493.0,106910.0,48433.0
1767829584574,1767829584.5679688,508.0,107091.0,48451.0
1767829584574,1767829584.5679843,493.0,106938.0,48435.0
1767829584664,1767829584.6579063,507.0,107134.0,48497.0
1767829584664,1767829584.6579218,493.0,106997.0,48454.0
1767829584664,1767829584.6579375,507.0,107116.0,48517.0
1767829584664,1767829584.657953,492.0,107039.0,48470.0
1767829584664,1767829584.6579688,506.0,107239.0,48477.0
1767829584664,1767829584.6579843,493.0,106984.0,48503.0
1767829584766,1767829584.7629063,505.0,107130.0,48497.0
1767829584766,1767829584.7629218,493.0,107135.0,48531.0
1767829584766,1767829584.7629375,507.0,107295.0,48549.0
1767829584766,1767829584.762953,492.0,107209.0,48495.0
1767829584766,1767829584.7629688,491.0,107222.0,48508.0
1767829584766,1767829584.7629843,503.0,107424.0,48533.0
1767829584859,1767829584.8529062,492.0,107455.0,48517.0
1767829584859,1767829584.8529217,493.0,107384.0,48510.0
1767829584859,1767829584.8529375,492.0,107438.0,48520.0
1767829584859,1767829584.852953,491.0,107419.0,48515.0
1767829584859,1767829584.8529687,491.0,107421.0,48524.0
1767829584859,1767829584.8529842,492.0,107535.0,48500.0
1767829584961,1767829584.9579062,493.0,107229.0,48496.0
1767829584961,1767829584.9579217,491.0,107046.0,48460.0
1767829584962,1767829584.9579375,491.0,106959.0,48453.0
1767829584962,1767829584.957953,491.0,106817.0,48410.0
1767829584962,1767829584.9579687,491.0,106715.0,48367.0
1767829584962,1767829584.9579842,490.0,106712.0,48390.0
1767829585037,1767829585.0329063,492.0,106583.0,48411.0
1767829585037,1767829585.0329218,492.0,106442.0,48380.0
1767829585037,1767829585.0329375,493.0,106542.0,48391.0
1767829585037,1767829585.032953,491.0,106665.0,48389.0
1767829585037,1767829585.0329688,503.0,106608.0,48417.0
1767829585037,1767829585.0329843,492.0,106529.0,48356.0
1767829585140,1767829585.1379063,506.0,106555.0,48395.0
1767829585140,1767829585.1379218,490.0,106428.0,48355.0
1767829585140,1767829585.1379375,504.0,106541.0,48368.0
1767829585140,1767829585.137953,492.0,106721.0,48388.0
1767829585140,1767829585.1379688,506.0,106708.0,48386.0
1767829585140,1767829585.1379843,491.0,106710.0,48384.0
1767829585231,1767829585.2279062,506.0,106600.0,48403.0
1767829585231,1767829585.2279217,490.0,106751.0,48423.0
1767829585231,1767829585.2279375,507.0,106700.0,48404.0
1767829585231,1767829585.227953,491.0,106792.0,48418.0
1767829585231,1767829585.2279687,506.0,106843.0,48416.0
1767829585231,1767829585.2279842,491.0,106744.0,48369.0
1767829585322,1767829585.3179064,490.0,106770.0,48382.0
1767829585322,1767829585.3179219,499.0,106947.0,48397.0
1767829585322,1767829585.3179376,492.0,106924.0,48375.0
1767829585322,1767829585.317953,492.0,106938.0,48401.0
1767829585322,1767829585.3179688,491.0,106866.0,48418.0
1767829585322,1767829585.3179843,490.0,107086.0,48449.0
1767829585416,1767829585.4109063,492.0,107059.0,48437.0
1767829585416,1767829585.4109218,491.0,106993.0,48465.0
1767829585416,1767829585.4109375,493.0,107018.0,48492.0
1767829585416,1767829585.410953,490.0,107022.0,48469.0
1767829585416,1767829585.4109688,490.0,107267.0,48472.0
1767829585416,1767829585.4109843,493.0,107174.0,48530.0
1767829585516,1767829585.4979062,492.0,107368.0,48533.0
1767829585516,1767829585.4979217,491.0,107311.0,48564.0
1767829585516,1767829585.4979374,493.0,107263.0,48577.0
1767829585516,1767829585.497953,492.0,107316.0,48615.0
1767829585516,1767829585.4979687,494.0,107023.0,48614.0
1767829585516,1767829585.4979842,491.0,107180.0,48614.0
1767829585620,1767829585.6179063,509.0,106837.0,48580.0
1767829585620,1767829585.6179218,491.0,106668.0,48613.0
1767829585620,1767829585.6179376,508.0,106541.0,48560.0
1767829585620,1767829585.617953,492.0,106416.0,48540.0
1767829585620,1767829585.6179688,508.0,106304.0,48554.0
1767829585620,1767829585.6179843,494.0,106159.0,48573.0
1767829585717,1767829585.7079062,507.0,105885.0,48594.0
