unix_ms,rel_timestamp,frame,ipd,event,gaze_target_world_pos_x,gaze_target_world_pos_y,gaze_target_world_pos_z,gaze_target_screen_pos_x,gaze_target_screen_pos_y,gaze_target_screen_pos_z,gaze_direction_x,gaze_direction_y,gaze_direction_z,gaze_target_distance,gaze_target_name,head_target_world_pos_x,head_target_world_pos_y,head_target_world_pos_z,head_target_screen_pos_x,head_target_screen_pos_y,head_target_screen_pos_z,head_direction_x,head_direction_y,head_direction_z,head_position_x,head_position_y,head_position_z,head_target_distance,head_target_name,gaze_head_rel_direction_x,gaze_head_rel_direction_y,gaze_head_rel_direction_z,gaze_head_angle_diff
1767829618817,0,1228,0,Activation,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
1767829619121,0,1228,0,Eye Hit,-3.126283,1.691874,13.8,724.0984,760.8913,15.77388,-0.00776027,0.01135968,0.9999053,15.79713,NorthBuildings_NoColliders,-3.207886,2.5466,13.8,721.0964,792,15.83077,-0.01289853,0.06532699,0.9977806,-3.003693,1.512423,-1.995631,15.83077,NorthBuildings_NoColliders,0.005202475,-0.05398291,0.9985283,3.108791
1767829619253,0,1229,60,Eye Hit,-3.336982,1.670738,13.8,727.5844,757.5169,15.81184,-0.01970942,0.01025922,0.9997531,15.84121,NorthBuildings_NoColliders,-3.512316,2.621563,13.8,721.0928,792,15.88387,-0.03069498,0.07009268,0.9970681,-3.024761,1.50822,-2.0373,15.88387,NorthBuildings_NoColliders,0.01125186,-0.0598155,0.9981461,3.489418
1767829619268,0.02000046,1230,60,Eye Hit,-3.268075,1.65207,13.8,735.0809,760.325,15.79893,-0.01529968,0.009052851,0.999842,15.8275,NorthBuildings_NoColliders,-3.467185,2.22696,9.15554,721.548,792,11.21227,-0.03935556,0.06405246,0.9971702,-3.025919,1.508786,-2.025002,11.21227,NorthWalkingPole,0.02425535,-0.05494725,0.9981947,3.443441
1767829619303,0.05565262,1231,60,Eye Hit,-3.307561,1.502938,13.8,735.2365,756.184,15.78838,-0.01779541,-0.0003923423,0.9998416,15.82369,NorthBuildings_NoColliders,-3.496874,2.2015,9.150032,721.5494,792,11.20255,-0.04203525,0.06180318,0.9972028,-3.025972,1.509146,-2.021184,11.20255,NorthWalkingPole,0.02451349,-0.06210415,0.9977686,3.828327
1767829619320,0.07364464,1232,60,Eye Hit,-3.349236,1.578734,13.8,734.0262,759.147,15.79375,-0.02042899,0.004389344,0.9997817,15.82345,NorthBuildings_NoColliders,-3.502973,2.197648,9.15008,721.5496,792,11.20143,-0.04258336,0.06145365,0.9972011,-3.025979,1.509279,-2.019993,11.20142,NorthWalkingPole,0.02242347,-0.05698663,0.9981231,3.510954
1767829619356,0.1088409,1233,60,Eye Hit,-3.380369,1.553739,13.8,734.045,759.5874,15.78974,-0.02241336,0.002794456,0.9997449,15.81876,NorthBuildings_NoColliders,-3.525596,2.171277,9.153349,721.5499,792,11.19881,-0.04462775,0.05909042,0.9972546,-3.025818,1.509534,-2.014721,11.19882,NorthWalkingPole,0.02245647,-0.05622507,0.9981656,3.470964
1767829619378,0.1302166,1234,60,Eye Hit,-3.390428,1.534919,13.8,733.9607,758.8865,15.78703,-0.02305947,0.001595963,0.9997328,15.81708,NorthBuildings_NoColliders,-3.531497,2.171406,9.155094,721.5499,792,11.19897,-0.04516508,0.05908847,0.9972305,-3.025695,1.509676,-2.01286,11.19897,NorthWalkingPole,0.02230851,-0.05743716,0.9980998,3.532635
1767829619401,0.1543407,1235,60,Eye Hit,-3.390333,1.535101,13.8,734.0829,758.4185,15.78458,-0.02305947,0.001595963,0.9997328,15.81545,NorthBuildings_NoColliders,-3.534086,2.180528,9.156078,721.5499,792,11.19897,-0.04540142,0.0598865,0.9971722,-3.025637,1.509861,-2.011225,11.19897,NorthWalkingPole,0.02251904,-0.05824594,0.9980482,3.580312
1767829619427,0.1787109,1236,60,Eye Hit,-3.305148,1.515034,13.8,737.4451,757.4526,15.77749,-0.01768402,0.0003395132,0.9998435,15.81225,NorthBuildings_NoColliders,-3.539558,2.184883,9.158161,721.5497,792,11.20013,-0.04589539,0.06028649,0.9971254,-3.025524,1.509666,-2.009775,11.20013,NorthWalkingPole,0.02834274,-0.05990631,0.9978015,3.799936
1767829619450,0.2041531,1237,60,Eye Hit,-3.248737,1.514606,13.8,739.9266,757.472,15.77308,-0.01412432,0.0003169743,0.9999002,15.80987,NorthBuildings_NoColliders,-3.548605,2.184027,9.16261,721.5493,792,11.20347,-0.04669729,0.06019863,0.9970935,-3.025433,1.509594,-2.008295,11.20347,NorthWalkingPole,0.03264114,-0.05986508,0.9976726,3.909761
1767829619482,0.232666,1238,60,Eye Hit,-3.272038,1.5193,13.8,739.4634,757.8965,15.77243,-0.01561164,0.0006143913,0.9998779,15.80812,NorthBuildings_NoColliders,-3.55708,2.17887,9.167814,721.5488,792,11.20666,-0.04745685,0.05972186,0.9970863,-3.025247,1.509588,-2.006189,11.20665,NorthWalkingPole,0.03184005,-0.05913305,0.9977422,3.850919
1767829619510,0.2621822,1239,60,Eye Hit,-3.274719,1.542247,13.8,739.5988,759.7813,15.77433,-0.01579601,0.002069277,0.9998731,15.80718,NorthBuildings_NoColliders,-3.561934,2.15853,9.171419,721.5486,792,11.20828,-0.04790255,0.05790292,0.9971723,-3.025028,1.509538,-2.005172,11.20829,NorthWalkingPole,0.03208068,-0.05587515,0.9979222,3.694115
1767829619540,0.2921715,1240,60,Eye Hit,-3.290597,1.508198,13.8,738.9798,758.7051,15.77228,-0.01682349,-9.790668E-05,0.9998585,15.80626,NorthBuildings_NoColliders,-3.561086,2.155196,9.170757,721.5489,792,11.20625,-0.0478666,0.05759735,0.9971917,-3.02468,1.509745,-2.004027,11.20625,NorthWalkingPole,0.03100493,-0.05773735,0.9978502,3.7576
1767829619568,0.3193798,1241,60,Eye Hit,-3.290404,1.508226,13.8,738.9131,758.6231,15.77175,-0.01682373,-9.79067E-05,0.9998585,15.8058,NorthBuildings_NoColliders,-3.559229,2.156863,9.16936,721.5491,792,11.20441,-0.04772564,0.05775309,0.9971895,-3.024491,1.509774,-2.003564,11.20441,NorthWalkingPole,0.03088907,-0.0578793,0.9978456,3.761662
